No;Region;Area;Node;Sector Name;ME;User Label;Latitude;Longitude;Connectivity;State
1;CRO;Kalimantan Area;BLPRAM;BLPRAMBI1V045;172.31.141.2;;-1.247917;116.838194;Unreachable;Inactive
2;CRO;West Java Area;BDGBBPB;BDGBBPBI01H165;172.31.147.2;;-6.836141;107.48698;Connected;Active
3;CRO;West Java Area;BDGCLY - Cabut - Perangkat - ISR;BDGCLYBI1V135;172.31.147.130;;-6.940522;107.75132;Unreachable;Inactive
4;ERO;Bali Nusra Area;DPSIKT;DPSIKTBI3V175;172.31.143.4;;-8.735832;115.178706;Connected;Active
5;ERO;Bali Nusra Area;;DPSIKTBI1H350;172.31.143.2;;-8.735832;115.178706;Connected;Active
6;ERO;East Java Area;GRSTGP;GRSTGPBI02-135-5H;172.31.177.130;;-7.150680;112.646615;Connected;Active
7;ERO;East Java Area;;GRSTGPBI01-315-2H;172.31.177.66;;-7.150680;112.646615;Connected;Active
8;ERO;East Java Area;MJKGTO;MJKGTOBI01-070-2V;172.31.176.130;;-7.484068;112.439306;Connected;Active
9;ERO;East Java Area;;MJKGTOBI03-250-2H;172.31.177.2;;-7.484068;112.439306;Connected;Active
10;ERO;East Java Area;;MJKGTOBI02-340-5V;172.31.176.194;;-7.484068;112.439306;Connected;Active
11;ERO;East Java Area;SDJCNG;SDJCNGBI02-90-2V;172.31.173.194;;-7.407205;112.618979;Connected;Active
12;ERO;East Java Area;;SDJCNGBI03-180-5V;172.31.174.2;;-7.407205;112.618979;Connected;Active
13;ERO;East Java Area;;SDJCNGBI04-270-2H;172.31.171.2;;-7.407205;112.618979;Connected;Active
14;ERO;East Java Area;;SDJCNGBI01-360-5H;172.31.173.130;;-7.407205;112.618979;Connected;Active
15;ERO;East Java Area;;SDJSMPBI01-090-2H-D89;172.31.159.130;;-7.443876;112.719712;Connected;Active
16;ERO;East Java Area;;SDJSMPBI02-180-5V;172.31.164.130;;-7.443876;112.719712;Connected;Active
17;ERO;East Java Area;;SDJSMPBI03-270-2V;172.31.164.194;;-7.443876;112.719712;Connected;Active
18;ERO;East Java Area;;SDJSMPBI04-360-5H;172.31.165.2;;-7.443876;112.719712;Connected;Active
19;ERO;East Java Area;SDJSNY;SDJSNYBI02-090-2V;172.31.171.66;;-7.348534;112.767766;Connected;Active
20;ERO;East Java Area;;SDJSNYBI3V180;172.31.146.2;;-7.348534;112.767766;Connected;Active
21;ERO;East Java Area;;SDJSNYBI04-270-2H;172.31.171.130;;-7.348534;112.767766;Connected;Active
22;ERO;East Java Area;SDJWGP;SDJWGPBI02-90-2H;172.31.172.2;;-7.348534;112.767766;Connected;Active
23;ERO;East Java Area;;SDJWGPBI03-180-5H;172.31.172.66;;-7.376449;112.694152;Connected;Active
24;ERO;East Java Area;;SDJWGPBI04-270-2V;172.31.172.130;;-7.376449;112.694152;Connected;Active
25;ERO;East Java Area;;SDJWGPBI01-360-5V;172.31.171.194;;-7.376449;112.694152;Connected;Active
26;ERO;East Java Area;SBYGPN;SBYGPNBI04-090-5H-D87;172.31.155.130;;-7,319528;112,731423;Connected;Active
27;ERO;East Java Area;;SBYGPNBI03-180-2H-D87;172.31.155.2;;-7.319528;112.731423;Connected;Active
28;ERO;East Java Area;;SBYGPNBI02-270-5V-D89;172.31.140.194;;-7.319528;112.731423;Connected;Active
29;ERO;East Java Area;;SBYGPNBI01-360-2V-D89;172.31.140.130;;-7.319528;112.731423;Connected;Active
30;ERO;East Java Area;SBYILT;SBYILTBI3V180;172.31.177.194;;-7.272927;112.742805;Connected;Active
31;ERO;East Java Area;SBYKYN;SBYKYNBI01-090-2H-D89;172.31.144.2;;-7.271313;112.744322;Connected;Active
32;ERO;East Java Area;;SBYKYNBI02-270-5H-D89;172.31.144.66;;-7.271313;112.744322;Unreachable;Inactive
33;ERO;East Java Area;SBYPGT;SBYPGTBI03-45-2V;172.31.174.66;;-7.234389;112.773033;Connected;Active
34;ERO;East Java Area;;SBYPGTBI01-135-5H;172.31.169.130;;-7.234389;112.773033;Connected;Active
35;ERO;East Java Area;;SBYPGTBI02-225-2H;172.31.170.130;;-7.234389;112.773033;Connected;Active
36;ERO;East Java Area;SBYRWJ;SBYRWJBI02-090-2H;172.31.161.130;;-7.231425;112.729394;Connected;Active
37;ERO;East Java Area;;SBYRWJBI03-180-5H;172.31.170.194;;-7.231425;112.729394;Connected;Active
38;ERO;East Java Area;;SBYRWJBI04-270-2V;172.31.174.130;;-7.231425;112.729394;Connected;Active
39;ERO;East Java Area;;SBYRWJBI01-360-5V;172.31.161.2;;-7.231425;112.729394;Connected;Active
40;ERO;East Java Area;SBYSNR;SBYSNRBI3H090;172.31.172.194;;-7.275505;112.684784;Connected;Active
41;ERO;East Java Area;;SBYSNRBI2V180;172.31.160.130;;-7.275505;112.684784;Connected;Active
42;ERO;East Java Area;;SBYSNRBI4H270;172.31.173.2;;-7.275505;112.684784;Connected;Active
43;ERO;East Java Area;;SBYSNRBI1V360;172.31.142.2;;-7.275505;112.684784;Unreachable;Inactive
44;ERO;East Java Area;SBYSPO;SBYSPOBI01-5V-270;172.31.180.66;;-7.289116;112.678018;Connected;Active
45;ERO;Maluku Papua Area;MKSHAM;MKSHAMBI1H020;172.31.141.133;;-5.1480556;119.41046667;Connected;Active
46;ERO;Maluku Papua Area;;MKSHAMBI2V110;172.31.141.131;;-5.1480556;119.41046667;Connected;Active
47;ERO;Maluku Papua Area;;MKSHAMBI3V245;172.31.141.132;;-5.1480556;119.41046667;Connected;Active
48;ERO;Maluku Papua Area;;MKSHBRBI1H193;172.31.178.2;;-5.10165;119.511;Unreachable;Dismantle
49;GJO;Banten and West Area;CLGIM3;CLGIM3BI04V315;172.31.181.130;;-6.119008;106.338023;Connected;Active
50;GJO;Banten and West Area;JKTCIG;JKTCIGBI2H135;172.31.164.3;;-6.130824;106.735322;Connected;Active
51;GJO;Banten and West Area;;JKTCIGBI2V225;172.31.164.4;;-6.130824;106.735322;Connected;Active
52;GJO;Banten and West Area;JKTKD2;JKTKD2BI1H045;172.31.153.3;;-6.188801;106.767965;Connected;Active
53;GJO;Banten and West Area;;JKTKD2BI2V135;172.31.153.8;;-6.188801;106.767965;Connected;Active
54;GJO;Banten and West Area;;JKTKD2BI3V225;172.31.153.4;;-6.188801;106.767965;Connected;Active
55;GJO;Banten and West Area;;JKTKD2BI4H315 ;172.31.153.5;;-6.188801;106.767965;Connected;Active
56;GJO;Banten and West Area;SRGSTR;SRGSTRBI01H045;172.31.181.66;;-6.120406;-106.15769;Connected;Active
57;GJO;Banten and West Area;;SRGSTRBI01V315;172.31.181.2;;-6.120341;106.157626;Connected;Active
58;GJO;Banten and West Area;TGRCIL;TGRCILBI2V135;172.31.170.2;;-6.225322525;106.708201;Connected;Active
59;GJO;Banten and West Area;;TGRCILBI3H225;172.31.170.3;;-6.225322525;106.708201;Connected;Active
60;GJO;Banten and West Area;TGRCUR;TGRCURBI2V135;172.31.166.4;;-6.217042745;106.5673415;Connected;Active
61;GJO;Banten and West Area;;TGRCURBI2H225;172.31.166.3;;-6.217042745;106.5673415;Connected;Active
62;GJO;Banten and West Area;;TGRCURBI4H315;172.31.166.5;;-6.217042745;106.5673415;Connected;Active
63;GJO;Banten and West Area;TGRMTH;TGRMTHBI1H045;172.31.151.130;;-6.229061217;106.6097212;Connected;Active
64;GJO;Banten and West Area;;TGRMTHBI2H135;172.31.151.131;;-6.229061217;106.6097212;Connected;Active
65;GJO;Banten and West Area;;TGRMTHBI3V225;172.31.151.132;;-6.229061217;106.6097212;Connected;Active
66;GJO;Banten and West Area;TGRMUB;TGRMUBBI01H045;172.31.128.2;;-6.14180778;106.68481951;Connected;Active
67;GJO;Banten and West Area;;TGRMUBBI04V315;172.31.128.5;;-6.14180778;106.68481951;Connected;Active
68;GJO;Banten and West Area;TGRSTS;TGRSTSBI1H045;172.31.152.130;;-6.221908;106.632164;Connected;Active
69;GJO;Banten and West Area;;TGRSTSBI2H135;172.31.152.131;;-6.221908;106.632164;Connected;Active
70;GJO;Banten and West Area;;TGRSTSBI3V225;172.31.152.134;;-6.221908;106.632164;Connected;Active
71;GJO;Banten and West Area;;TGRSTSBI4V315;172.31.152.133;;-6.221908;106.632164;Connected;Active
72;GJO;Business District Area;JKTBRI;JKTBRIBI3V225;172.31.134.4;;-6.216943;106.813893;Connected;Active
73;GJO;Business District Area;;JKTBRIBI4V315;172.31.134.5;;-6.217218;106.813752;Unreachable;Inactive
74;GJO;Business District Area;JKTIMP;JKTIMPBI1V045;172.31.128.130;;-6.210278;106.831211;Connected;Active
75;GJO;Business District Area;;JKTIMPBI2V135;172.31.128.131;;-6.210278;106.831211;Connected;Active
76;GJO;Business District Area;;JKTIMPBI3H225;172.31.128.132;;-6.210278;106.831211;Connected;Active
77;GJO;Business District Area;;JKTIMPBI4H315;172.31.128.133;;-6.210278;106.831211;Connected;Active
78;GJO;Central District Area;JKTMNC;JKTMNCBI1V045;172.31.135.2;;-6.184064;106.831195;Connected;Active
79;GJO;Central District Area;;JKTMNCBI2V135;172.31.135.3;;-6.184064;106.831195;Connected;Active
80;GJO;Central District Area;;JKTMNCBI3H225;172.31.135.4;;-6.184064;106.831195;Connected;Active
81;GJO;Central District Area;;JKTMNCBI4H315;172.31.135.5;;-6.184064;106.831195;Connected;Active
82;GJO;North and East Area;JKTASK;JKTASKBI2H135;172.31.131.3;;-6.12725;106.805;Connected;Active
83;GJO;North and East Area;;JKTASKBI3V225;172.31.131.4;;-6.12725;106.805;Connected;Active
84;GJO;North and East Area;;JKTASKBI4V315;172.31.131.5;;-6.12725;106.805;Connected;Active
85;GJO;North and East Area;JKTGKR;JKTGKRBI1H045;172.31.149.2;;-6.15129;106.8872;Connected;Active
86;GJO;North and East Area;;JKTGKRBI2H135;172.31.149.3;;-6.15129;106.8872;Connected;Active
87;GJO;North and East Area;;JKTGKRBI3V225;172.31.149.4;;-6.15129;106.8872;Connected;Active
88;GJO;North and East Area;;JKTGKRBI4V315;172.31.149.5;;-6.15129;106.8872;Connected;Active
89;GJO;North and East Area;JKTKGD;JKTKGDBI2V135;172.31.132.131;;-6.171444;106.916252;Connected;Active
90;GJO;North and East Area;;JKTKGDBI3H225;172.31.132.132;;-6.171444;106.916252;Connected;Active
91;GJO;North and East Area;;JKTKGDBI4H315;172.31.132.133;;-6.171444;106.916252;Connected;Active
92;GJO;North and East Area;JKTPTC;JKTPTCBI2V135;172.31.166.131;;-6.183722;106.915222;Connected;Active
93;GJO;North and East Area;;JKTPTCBI3V225;172.31.166.130;;-6.183722;106.915222;Connected;Active
94;GJO;South Area and South Tangerang;JKTBDR;JKTBDRBI1H045;172.31.132.4;;-6.29100;106.78655;Connected;Active
95;GJO;South Area and South Tangerang;;JKTBDRBI3V225;172.31.132.3;;6.28916;106.78678;Unreachable;Inactive
96;GJO;South Area and South Tangerang;;JKTBDRBI4V315;172.31.132.5;;-6.29100;106.78655;Connected;Active
97;GJO;South Area and South Tangerang;TGRAJS;TGRAJSBI1H045;172.31.175.130;;-6.2958;106.6802;Connected;Active
98;GJO;South Area and South Tangerang;;TGRAJSBI2H135;172.31.175.194;;-6.2958;106.6802;Connected;Active
99;GJO;South Area and South Tangerang;;TGRAJSBI3V225;172.31.176.2;;-6.2958;106.6802;Connected;Active
100;GJO;South Area and South Tangerang;;TGRAJSBI4V315;172.31.176.66;;-6.2958;106.6802;Connected;Active
101;GJO;South Area and South Tangerang;TGRBIA;TGRBIABI1V45;172.31.178.130;;-6.2705;106.7091;Connected;Active
102;GJO;South Area and South Tangerang;;TGRBIABI2V135;172.31.178.194;;-6.2705;106.7091;Connected;Active
103;GJO;South Area and South Tangerang;;TGRBIABI3H225;172.31.179.2;;-6.2705;106.7091;Connected;Active
104;GJO;South Area and South Tangerang;;TGRBIABI4H315;172.31.179.66;;-6.2705;106.7091;Connected;Active
105;GJO;South East Outer Area;BKSCRW;BKSCRWB1H045;172.31.150.2;;-6.330000;107.134489;Connected;Active
106;GJO;South East Outer Area;;BKSCRWB2H135;172.31.150.3;;-6.330000;107.134489;Connected;Active
107;GJO;South East Outer Area;;BKSCRWB1V225;172.31.150.4;;-6.330000;107.134489;Connected;Active
108;GJO;South East Outer Area;BKSHHR;BKSHHRBI1H045;172.31.153.130;;-6.2483;106.99084;Connected;Active
109;GJO;South East Outer Area;;BKSHHRBI2V135;172.31.153.131;;-6.2483;106.99084;Connected;Active
110;GJO;South East Outer Area;BKSJBB;BKSJBBBI1H045;172.31.148.130;;-6.296083 ;107.162247;Connected;Active
111;GJO;South East Outer Area;;BKSJBBBI3V225;172.31.148.132;;-6.296083 ;107.162247;Connected;Active
112;GJO;South East Outer Area;;BKSJBBBI4H315;172.31.148.133;;-6.296083 ;107.162247;Connected;Active
113;WRO;Central Sumtra Area;PBRSDU;PBRSDUBI2H135;172.31.137.3;;0.51185;101.449133;Connected;Active
114;WRO;North Sumatra Area;;MDNCMBBI2H120;172.31.156.3;;5.2194761;0.135512;Connected;Active
115;WRO;South Sumatra Area;PLBBSG;PLBBSGBI3V315;172.31.138.67;;-2.9982961;104.7240517;Connected;Active
116;WRO;South Sumatra Area;PLBKBN;PLBKBNBI1H000;172.31.138.130;;-2.9200622;104.7226304;Connected;Active
